z,pdf
-3,0.00134989803163009
-2.98,0.00144124191734001
-2.96,0.00153819521173806
-2.94,0.001641061234157
-2.92,0.0017501569286761
-2.9,0.00186581330038404
-2.88,0.00198837585489433
-2.86,0.00211820504040462
-2.84,0.00225567669154232
-2.82,0.00240118247418925
-2.8,0.00255513033042793
-2.78,0.00271794492270126
-2.76,0.00289006807622615
-2.74,0.00307195921865049
-2.72,0.00326409581589132
-2.7,0.00346697380304067
-2.68,0.00368110800917498
-2.66,0.00390703257485278
-2.64,0.00414530136103604
-2.62,0.00439648834812131
-2.6,0.00466118802371875
-2.58,0.00494001575777064
-2.56,0.00523360816355579
-2.54,0.0055426234430826
-2.52,0.00586774171533256
-2.5,0.00620966532577613
-2.48,0.00656911913554676
-2.46,0.00694685078862432
-2.44,0.00734363095534835
-2.42,0.00776025355055365
-2.4,0.00819753592459613
-2.38,0.00865631902551655
-2.36,0.00913746753057268
-2.34,0.00964186994535833
-2.32,0.0101704386687197
-2.3,0.0107241100216758
-2.28,0.0113038442385528
-2.26,0.0119106254185471
-2.24,0.0125454614359466
-2.22,0.0132093838072563
-2.2,0.0139034475134986
-2.18,0.0146287307759893
-2.16,0.0153863347839254
-2.14,0.0161773833721661
-2.12,0.0170030226476328
-2.1,0.0178644205628166
-2.08,0.0187627664349377
-2.06,0.0196992704093769
-2.04,0.0206751628660701
-2.02,0.0216916937676468
-2,0.0227501319481792
-1.98,0.0238517643415085
-1.96,0.0249978951482204
-1.94,0.0261898449404527
-1.92,0.0274289497038368
-1.9,0.0287165598160018
-1.88,0.0300540389611998
-1.86,0.0314427629807527
-1.84,0.0328841186591639
-1.82,0.03437950244589
-1.8,0.0359303191129258
-1.78,0.0375379803485168
-1.76,0.0392039032874827
-1.74,0.0409295089788074
-1.72,0.0427162207913289
-1.7,0.044565462758543
-1.68,0.0464786578637201
-1.66,0.0484572262667228
-1.64,0.0505025834741037
-1.62,0.0526161384542521
-1.6,0.054799291699558
-1.58,0.0570534332377542
-1.56,0.059379940594793
-1.54,0.0617801767118119
-1.52,0.0642554878189358
-1.5,0.0668072012688581
-1.48,0.0694366233333317
-1.46,0.0721450369658938
-1.44,0.0749336995343271
-1.42,0.0778038405265464
-1.4,0.0807566592337711
-1.38,0.0837933224150143
-1.36,0.086914961947085
-1.34,0.0901226724644525
-1.32,0.0934175089934718
-1.3,0.0968004845856103
-1.28,0.100272567954442
-1.26,0.1038346811213
-1.24,0.107487697074587
-1.22,0.111232437447835
-1.2,0.115069670221708
-1.18,0.119000107455201
-1.16,0.123024403051343
-1.14,0.127143150562798
-1.12,0.131356881042731
-1.1,0.135666060946383
-1.08,0.140071090088769
-1.06,0.14457229966391
-1.04,0.149169950330981
-1.02,0.153864230372735
-1,0.158655253931457
-0.98,0.163543059327692
-0.96,0.168527607466838
-0.94,0.173608780338625
-0.92,0.178786379614372
-0.9,0.18406012534676
-0.88,0.189429654776712
-0.86,0.194894521251808
-0.84,0.20045419326045
-0.82,0.206108053585813
-0.8,0.211855398583397
-0.78,0.217695437585733
-0.76,0.2236272924376
-0.74,0.229649997164791
-0.72,0.235762497779251
-0.7,0.241963652223073
-0.68,0.248252230453571
-0.66,0.254626914671336
-0.64,0.261086299692862
-0.62,0.267628893468983
-0.6,0.274253117750074
-0.58,0.280957308898564
-0.56,0.287739718849027
-0.54,0.294598516215698
-0.52,0.301531787546966
-0.5,0.308537538725987
-0.48,0.315613696516223
-0.46,0.322758110250348
-0.44,0.329968553660594
-0.42,0.33724272684825
-0.4,0.344578258389676
-0.38,0.351972707575837
-0.36,0.359423566782009
-0.34,0.366928263963972
-0.32,0.37448416527668
-0.3,0.382088577811047
-0.28,0.389738752444203
-0.26,0.39743188679824
-0.24,0.405165128302204
-0.22,0.412935577351785
-0.2,0.420740290560897
-0.18,0.428576284099099
-0.16,0.436440537108567
-0.14,0.444329995194094
-0.12,0.452241573979416
-0.1,0.460172162722971
-0.0800000000000001,0.468118627986013
-0.0600000000000001,0.476077817345893
-0.04,0.484046563147169
-0.02,0.492021686283098
0,0.5
0.02,0.507978313716902
0.04,0.515953436852831
0.0600000000000001,0.523922182654107
0.0800000000000001,0.531881372013987
0.1,0.539827837277029
0.12,0.547758426020584
0.14,0.555670004805906
0.16,0.563559462891433
0.18,0.571423715900901
0.2,0.579259709439103
0.22,0.587064422648215
0.24,0.594834871697796
0.26,0.602568113201761
0.28,0.610261247555797
0.3,0.617911422188953
0.32,0.62551583472332
0.34,0.633071736036028
0.36,0.640576433217991
0.38,0.648027292424163
0.4,0.655421741610324
0.42,0.66275727315175
0.44,0.670031446339406
0.46,0.677241889749652
0.48,0.684386303483777
0.5,0.691462461274013
0.52,0.698468212453034
0.54,0.705401483784302
0.56,0.712260281150973
0.58,0.719042691101436
0.6,0.725746882249926
0.62,0.732371106531017
0.64,0.738913700307138
0.66,0.745373085328664
0.68,0.75174776954643
0.7,0.758036347776927
0.72,0.764237502220749
0.74,0.770350002835209
0.76,0.776372707562401
0.78,0.782304562414267
0.8,0.788144601416603
0.82,0.793891946414187
0.84,0.79954580673955
0.86,0.805105478748192
0.88,0.810570345223288
0.9,0.81593987465324
0.92,0.821213620385628
0.94,0.826391219661375
0.96,0.831472392533162
0.98,0.836456940672308
1,0.841344746068543
1.02,0.846135769627265
1.04,0.850830049669019
1.06,0.855427700336091
1.08,0.859928909911231
1.1,0.864333939053617
1.12,0.868643118957269
1.14,0.872856849437202
1.16,0.876975596948657
1.18,0.880999892544799
1.2,0.884930329778292
1.22,0.888767562552165
1.24,0.892512302925413
1.26,0.8961653188787
1.28,0.899727432045558
1.3,0.90319951541439
1.32,0.906582491006528
1.34,0.909877327535548
1.36,0.913085038052915
1.38,0.916206677584986
1.4,0.919243340766229
1.42,0.922196159473454
1.44,0.925066300465673
1.46,0.927854963034106
1.48,0.930563376666668
1.5,0.933192798731142
1.52,0.935744512181064
1.54,0.938219823288188
1.56,0.940620059405207
1.58,0.942946566762246
1.6,0.945200708300442
1.62,0.947383861545748
1.64,0.949497416525896
1.66,0.951542773733277
1.68,0.95352134213628
1.7,0.955434537241457
1.72,0.957283779208671
1.74,0.959070491021193
1.76,0.960796096712517
1.78,0.962462019651483
1.8,0.964069680887074
1.82,0.96562049755411
1.84,0.967115881340836
1.86,0.968557237019247
1.88,0.9699459610388
1.9,0.971283440183998
1.92,0.972571050296163
1.94,0.973810155059547
1.96,0.97500210485178
1.98,0.976148235658492
2,0.977249868051821
2.02,0.978308306232353
2.04,0.97932483713393
2.06,0.980300729590623
2.08,0.981237233565062
2.1,0.982135579437183
2.12,0.982996977352367
2.14,0.983822616627834
2.16,0.984613665216075
2.18,0.985371269224011
2.2,0.986096552486501
2.22,0.986790616192744
2.24,0.987454538564053
2.26,0.988089374581453
2.28,0.988696155761447
2.3,0.989275889978324
2.32,0.98982956133128
2.34,0.990358130054642
2.36,0.990862532469427
2.38,0.991343680974483
2.4,0.991802464075404
2.42,0.992239746449446
2.44,0.992656369044652
2.46,0.993053149211376
2.48,0.993430880864453
2.5,0.993790334674224
2.52,0.994132258284667
2.54,0.994457376556917
2.56,0.994766391836444
2.58,0.995059984242229
2.6,0.995338811976281
2.62,0.995603511651879
2.64,0.995854698638964
2.66,0.996092967425147
2.68,0.996318891990825
2.7,0.996533026196959
2.72,0.996735904184109
2.74,0.99692804078135
2.76,0.997109931923774
2.78,0.997282055077299
2.8,0.997444869669572
2.82,0.997598817525811
2.84,0.997744323308458
2.86,0.997881794959595
2.88,0.998011624145106
2.9,0.998134186699616
2.92,0.998249843071324
2.94,0.998358938765843
2.96,0.998461804788262
2.98,0.99855875808266
3,0.99865010196837
